Time,Latitude,Longitude,Course,feet
Tue 08:13:17 PM,43.6711,-22.0048,→ 96°,
Tue 08:14:25 PM,43.6534,-21.7756,→ 96°,
Tue 08:16:20 PM,43.6223,-21.3884,→ 96°,
Tue 08:17:23 PM,43.6048,-21.1764,→ 96°,
Tue 08:19:12 PM,43.5735,-20.8099,→ 97°,
Tue 08:20:17 PM,43.5543,-20.5915,→ 97°,
Tue 08:21:17 PM,43.5361,-20.3901,→ 97°,
Tue 08:22:24 PM,43.5155,-20.1653,→ 97°,
Tue 08:24:23 PM,43.4687,-19.7684,→ 100°,
Tue 08:26:22 PM,43.4143,-19.3736,→ 101°,
Tue 08:27:23 PM,43.3859,-19.1715,→ 101°,
Tue 08:29:15 PM,43.3318,-18.8012,→ 102°,
Tue 08:30:23 PM,43.2979,-18.5768,→ 102°,
Tue 08:32:21 PM,43.2379,-18.188,→ 102°,
Tue 08:34:22 PM,43.1751,-17.7902,→ 102°,
Tue 08:36:24 PM,43.1104,-17.3899,→ 102°,
Tue 08:38:24 PM,43.0453,-16.997,→ 103°,
Tue 08:40:25 PM,42.9784,-16.6017,→ 103°,
Tue 08:42:22 PM,42.9124,-16.2203,→ 103°,
Tue 08:44:14 PM,42.8481,-15.856,→ 103°,
Tue 08:45:15 PM,42.8125,-15.6578,→ 104°,
Tue 08:46:23 PM,42.7725,-15.4373,→ 104°,
Tue 08:47:23 PM,42.7368,-15.2429,→ 104°,
Tue 08:49:24 PM,42.6639,-14.8515,→ 104°,
Tue 08:51:22 PM,42.5915,-14.4708,→ 104°,
Tue 08:52:56 PM,42.4981,-13.9936,→ 100°,"37,000"
Tue 08:53:41 PM,42.4671,-13.8458,→ 106°,"37,000"
Tue 08:54:11 PM,42.4468,-13.748,→ 106°,"37,000"
Tue 08:54:41 PM,42.4267,-13.6516,→ 106°,"37,025"
Tue 08:55:11 PM,42.4058,-13.554,→ 106°,"37,000"
Tue 08:55:41 PM,42.3852,-13.4581,→ 106°,"37,000"
Tue 08:56:11 PM,42.3644,-13.361,→ 106°,"37,000"
Tue 08:56:47 PM,42.3398,-13.2468,→ 106°,"37,000"
Tue 08:57:24 PM,42.3146,-13.1312,→ 106°,"37,000"
Tue 08:58:11 PM,42.2808,-12.9762,→ 107°,"37,000"
Tue 08:58:42 PM,42.2597,-12.8801,→ 107°,"37,000"
Tue 08:59:15 PM,42.2372,-12.7781,→ 107°,"37,125"
Tue 08:59:47 PM,42.2144,-12.6748,→ 107°,"37,725"
Tue 09:00:17 PM,42.1935,-12.5813,→ 107°,"38,000"
Tue 09:00:49 PM,42.1713,-12.4821,→ 107°,"38,000"
Tue 09:01:20 PM,42.1495,-12.385,→ 107°,"38,000"
Tue 09:01:50 PM,42.1281,-12.2905,→ 107°,"38,000"
Tue 09:02:20 PM,42.1066,-12.1954,→ 107°,"38,000"
Tue 09:02:50 PM,42.0851,-12.101,→ 107°,"38,000"
Tue 09:03:20 PM,42.064,-12.0086,→ 107°,"38,000"
Tue 09:03:51 PM,42.0422,-11.9139,→ 107°,"38,000"
Tue 09:04:21 PM,42.0203,-11.8185,→ 107°,"38,000"
Tue 09:04:51 PM,41.9989,-11.7264,→ 107°,"38,000"
Tue 09:05:21 PM,41.9767,-11.631,→ 107°,"38,000"
Tue 09:05:51 PM,41.955,-11.5381,→ 107°,"38,000"
Tue 09:06:21 PM,41.9335,-11.4463,→ 107°,"38,000"
Tue 09:06:51 PM,41.9114,-11.3525,→ 108°,"38,000"
Tue 09:07:21 PM,41.8892,-11.2585,→ 108°,"38,000"
Tue 09:07:51 PM,41.8674,-11.1669,→ 108°,"38,000"
Tue 09:08:21 PM,41.8455,-11.075,→ 108°,"38,000"
Tue 09:08:51 PM,41.823,-10.9811,→ 108°,"38,000"
Tue 09:09:21 PM,41.8011,-10.8899,→ 108°,"38,000"
Tue 09:09:52 PM,41.7787,-10.7971,→ 108°,"38,000"
Tue 09:10:25 PM,41.7531,-10.6913,→ 108°,"38,000"
Tue 09:10:55 PM,41.7308,-10.5997,→ 108°,"38,000"
Tue 09:11:25 PM,41.7093,-10.5121,→ 108°,"38,000"
Tue 09:11:56 PM,41.6852,-10.4135,→ 108°,"38,000"
Tue 09:12:29 PM,41.6602,-10.3123,→ 108°,"38,000"
Tue 09:12:59 PM,41.6375,-10.2203,→ 108°,"38,000"
Tue 09:13:29 PM,41.6158,-10.1331,→ 108°,"38,000"
Tue 09:13:59 PM,41.5911,-10.0343,→ 108°,"38,000"
Tue 09:14:29 PM,41.5697,-9.9485,→ 108°,"38,000"
Tue 09:14:59 PM,41.5449,-9.85,→ 109°,"38,000"
Tue 09:15:29 PM,41.5218,-9.7584,→ 109°,"38,000"
Tue 09:15:59 PM,41.4998,-9.6712,→ 109°,"38,000"
Tue 09:16:29 PM,41.4758,-9.577,→ 109°,"38,000"
Tue 09:16:59 PM,41.4528,-9.4871,→ 109°,"38,000"
Tue 09:17:29 PM,41.429,-9.3939,→ 109°,"38,000"
