Time,Latitude,Longitude,Course,feet
Thu 05:26:07 PM,67.6512,-32.1324,↗ 65°,
Thu 05:27:08 PM,67.7104,-31.7862,→ 66°,
Thu 05:28:53 PM,67.8107,-31.1861,→ 66°,
Thu 05:29:57 PM,67.8707,-30.8179,→ 66°,
Thu 05:30:59 PM,67.9281,-30.4593,→ 67°,
Thu 05:32:01 PM,67.9847,-30.099,→ 67°,
Thu 05:33:05 PM,68.0616,-29.7527,↗ 56°,
Thu 05:35:06 PM,68.2185,-29.1101,↗ 56°,
Thu 05:37:07 PM,68.3728,-28.4587,↗ 57°,
Thu 05:38:07 PM,68.4483,-28.1324,↗ 58°,
Thu 05:40:06 PM,68.5963,-27.4788,↗ 58°,
Thu 05:41:07 PM,68.6712,-27.1405,↗ 59°,
Thu 05:43:01 PM,68.8093,-26.5021,↗ 59°,
Thu 05:44:05 PM,68.8857,-26.1402,↗ 59°,
Thu 05:46:06 PM,69.0282,-25.4493,↗ 60°,
Thu 05:47:07 PM,69.0989,-25.0975,↗ 60°,
Thu 05:48:54 PM,69.2212,-24.4751,↗ 61°,
Thu 05:50:04 PM,69.3,-24.0641,↗ 61°,
Thu 05:52:05 PM,69.4339,-23.3467,↗ 62°,
Thu 05:53:05 PM,69.4992,-22.9876,↗ 62°,
Thu 05:54:52 PM,69.6138,-22.3419,↗ 63°,
Thu 05:55:54 PM,69.6791,-21.9645,↗ 63°,
Thu 05:57:01 PM,69.7488,-21.5542,↗ 64°,
Thu 05:58:05 PM,69.8144,-21.1597,↗ 64°,
Thu 06:00:04 PM,69.9341,-20.4196,↗ 64°,
Thu 06:01:05 PM,69.9942,-20.037,↗ 65°,
Thu 06:03:02 PM,70.0942,-19.2813,→ 69°,
Thu 06:04:06 PM,70.1471,-18.8644,→ 69°,
Thu 06:05:56 PM,70.2359,-18.143,→ 70°,
Thu 06:07:01 PM,70.2869,-17.7138,→ 70°,
Thu 06:08:07 PM,70.3377,-17.2758,→ 71°,
Thu 06:10:04 PM,70.4251,-16.4942,→ 71°,
Thu 06:11:59 PM,70.5077,-15.7194,→ 72°,
Thu 06:13:05 PM,70.5537,-15.2719,→ 73°,
Thu 06:15:07 PM,70.6356,-14.4396,→ 73°,
Thu 06:17:06 PM,70.7119,-13.6212,→ 74°,
Thu 06:19:07 PM,70.7857,-12.7829,→ 75°,
Thu 06:20:07 PM,70.8208,-12.3649,→ 75°,
Thu 06:21:07 PM,70.8551,-11.9455,→ 76°,
Thu 06:23:03 PM,70.9185,-11.1306,→ 76°,
Thu 06:24:06 PM,70.9515,-10.6859,→ 77°,
Thu 06:25:07 PM,70.9824,-10.2539,→ 77°,
Thu 06:26:57 PM,71.0137,-9.4624,→ 85°,
Thu 06:28:05 PM,71.0249,-8.9693,→ 86°,
Thu 06:29:05 PM,71.0336,-8.5337,→ 86°,
Thu 06:31:02 PM,71.0478,-7.6834,→ 87°,
Thu 06:32:04 PM,71.0538,-7.2324,→ 87°,
Thu 06:34:05 PM,71.0623,-6.3514,→ 88°,
Thu 06:35:59 PM,71.0664,-5.5209,→ 89°,
Thu 06:37:08 PM,71.0671,-5.0181,→ 90°,
Thu 06:38:49 PM,71.0658,-4.2822,→ 90°,
Thu 06:39:57 PM,71.0632,-3.7868,→ 91°,
Thu 06:41:04 PM,71.0594,-3.2988,→ 91°,
Thu 06:43:01 PM,71.0497,-2.4473,→ 92°,
Thu 06:44:07 PM,71.0425,-1.9674,→ 92°,
Thu 06:46:05 PM,71.0266,-1.1104,→ 93°,
Thu 06:47:06 PM,71.0168,-0.6679,→ 94°,
Thu 06:48:06 PM,71.0061,-0.2332,→ 94°,
Thu 06:50:03 PM,70.9711,0.6089,→ 98°,
Thu 06:51:59 PM,70.9283,1.4389,→ 99°,
Thu 06:53:07 PM,70.9015,1.9237,→ 99°,
Thu 06:55:03 PM,70.853,2.7477,→ 100°,
Thu 06:57:04 PM,70.7997,3.6036,→ 100°,
Thu 06:59:07 PM,70.7415,4.4687,→ 101°,
Thu 07:01:01 PM,70.684,5.2659,→ 102°,
Thu 07:03:02 PM,70.6191,6.1069,→ 103°,
Thu 07:04:03 PM,70.585,6.5288,→ 103°,
Thu 07:06:07 PM,70.5126,7.382,→ 104°,
Thu 07:08:04 PM,70.4406,8.1812,→ 105°,
Thu 07:09:07 PM,70.4004,8.6092,→ 105°,
Thu 07:10:59 PM,70.3265,9.3659,→ 106°,
Thu 07:12:05 PM,70.2815,9.8092,→ 107°,
Thu 07:14:07 PM,70.1954,10.6234,→ 107°,
Thu 07:16:03 PM,70.1101,11.3912,→ 108°,
Thu 07:17:07 PM,70.0616,11.812,→ 108°,
Thu 07:18:56 PM,69.9768,12.5243,→ 109°,
Thu 07:20:06 PM,69.9209,12.9786,→ 110°,
Thu 07:20:44 PM,70.1334,13.7766,→ 107°,"35,000"
Thu 07:21:24 PM,70.1054,14.0405,→ 107°,"35,000"
Thu 07:21:54 PM,70.0844,14.2368,→ 108°,"35,000"
Thu 07:22:24 PM,70.0633,14.4307,→ 108°,"35,000"
Thu 07:22:54 PM,70.0418,14.6263,→ 108°,"35,000"
Thu 07:23:42 PM,70.0077,14.9401,→ 106°,"35,000"
Thu 07:24:16 PM,69.9889,15.1659,→ 101°,"35,000"
Thu 07:24:56 PM,69.9704,15.438,→ 101°,"35,000"
Thu 07:25:26 PM,69.9562,15.6381,→ 102°,"35,000"
Thu 07:25:56 PM,69.942,15.8369,→ 102°,"35,000"
Thu 07:26:26 PM,69.9273,16.0398,→ 102°,"35,000"
Thu 07:26:56 PM,69.9128,16.2366,→ 102°,"35,000"
Thu 07:27:26 PM,69.8974,16.4412,→ 102°,"35,000"
Thu 07:27:56 PM,69.8824,16.6373,→ 103°,"35,000"
Thu 07:28:26 PM,69.8665,16.8447,→ 103°,"35,000"
Thu 07:28:56 PM,69.8511,17.0395,→ 103°,"35,000"
Thu 07:29:26 PM,69.8355,17.2351,→ 103°,"35,000"
Thu 07:29:56 PM,69.8187,17.4418,→ 103°,"35,000"
Thu 07:30:26 PM,69.8023,17.6405,→ 104°,"35,000"
Thu 07:30:56 PM,69.7855,17.8418,→ 104°,"35,000"
Thu 07:31:39 PM,69.761,18.1287,→ 104°,"35,000"
Thu 07:32:10 PM,69.7431,18.3339,→ 104°,"35,000"
Thu 07:32:40 PM,69.7255,18.5341,→ 104°,"35,000"
Thu 07:33:10 PM,69.7078,18.7315,→ 105°,"35,000"
Thu 07:33:40 PM,69.6897,18.9315,→ 105°,"35,000"
Thu 07:34:12 PM,69.671,19.1353,→ 105°,"35,000"
Thu 07:34:42 PM,69.6527,19.3317,→ 105°,"35,000"
Thu 07:35:12 PM,69.6337,19.5316,→ 105°,"35,000"
Thu 07:35:42 PM,69.615,19.7271,→ 106°,"35,000"
Thu 07:36:12 PM,69.5958,19.9251,→ 106°,"35,000"
Thu 07:36:43 PM,69.5759,20.127,→ 106°,"35,000"
Thu 07:37:16 PM,69.5547,20.3387,→ 106°,"35,000"
Thu 07:37:55 PM,69.5288,20.5946,→ 106°,"35,000"
Thu 07:38:25 PM,69.5086,20.79,→ 107°,"35,000"
Thu 07:38:55 PM,69.4879,20.9891,→ 107°,"35,000"
Thu 07:39:32 PM,69.4621,21.2326,→ 107°,"35,000"
Thu 07:40:02 PM,69.4414,21.4255,→ 107°,"35,000"
Thu 07:40:33 PM,69.4202,21.621,→ 107°,"35,000"
Thu 07:41:03 PM,69.3991,21.8146,→ 107°,"35,000"
Thu 07:41:33 PM,69.3775,22.0086,→ 108°,"35,000"
